p_slowdown,v_max,critical_density
0.0,1,"[0.48275862068965514, 0.48275862068965514, 0.48275862068965514, 0.48275862068965514, 0.5172413793103449]"
0.05263157894736842,1,"[0.48275862068965514, 0.48275862068965514, 0.5172413793103449, 0.48275862068965514, 0.48275862068965514]"
0.10526315789473684,1,"[0.4482758620689655, 0.48275862068965514, 0.48275862068965514, 0.48275862068965514, 0.48275862068965514]"
0.15789473684210525,1,"[0.5172413793103449, 0.5172413793103449, 0.48275862068965514, 0.4482758620689655, 0.48275862068965514]"
0.21052631578947367,1,"[0.48275862068965514, 0.5517241379310345, 0.5172413793103449, 0.4482758620689655, 0.5172413793103449]"
0.2631578947368421,1,"[0.5172413793103449, 0.4482758620689655, 0.48275862068965514, 0.48275862068965514, 0.5172413793103449]"
0.3157894736842105,1,"[0.5172413793103449, 0.48275862068965514, 0.5172413793103449, 0.48275862068965514, 0.48275862068965514]"
0.3684210526315789,1,"[0.4482758620689655, 0.48275862068965514, 0.4482758620689655, 0.5172413793103449, 0.4482758620689655]"
0.42105263157894735,1,"[0.5172413793103449, 0.5862068965517241, 0.5172413793103449, 0.4482758620689655, 0.5172413793103449]"
0.47368421052631576,1,"[0.48275862068965514, 0.5862068965517241, 0.48275862068965514, 0.48275862068965514, 0.5517241379310345]"
0.5263157894736842,1,"[0.4482758620689655, 0.41379310344827586, 0.5517241379310345, 0.48275862068965514, 0.5172413793103449]"
0.5789473684210527,1,"[0.48275862068965514, 0.5517241379310345, 0.48275862068965514, 0.4482758620689655, 0.4482758620689655]"
0.631578947368421,1,"[0.5517241379310345, 0.5862068965517241, 0.5517241379310345, 0.5517241379310345, 0.4482758620689655]"
0.6842105263157894,1,"[0.48275862068965514, 0.48275862068965514, 0.41379310344827586, 0.5172413793103449, 0.5172413793103449]"
0.7368421052631579,1,"[0.4482758620689655, 0.5172413793103449, 0.41379310344827586, 0.4482758620689655, 0.5862068965517241]"
0.7894736842105263,1,"[0.48275862068965514, 0.4482758620689655, 0.5172413793103449, 0.4482758620689655, 0.5172413793103449]"
0.8421052631578947,1,"[0.48275862068965514, 0.5172413793103449, 0.48275862068965514, 0.5172413793103449, 0.5517241379310345]"
0.894736842105263,1,"[0.4482758620689655, 0.48275862068965514, 0.4482758620689655, 0.5517241379310345, 0.5172413793103449]"
0.9473684210526315,1,"[0.4482758620689655, 0.4482758620689655, 0.5172413793103449, 0.5517241379310345, 0.3448275862068966]"
1.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0]"
0.0,2,"[0.3448275862068966, 0.3793103448275862, 0.3448275862068966, 0.3793103448275862, 0.3793103448275862]"
0.05263157894736842,2,"[0.3793103448275862, 0.3793103448275862, 0.3103448275862069, 0.3793103448275862, 0.3103448275862069]"
0.10526315789473684,2,"[0.3103448275862069, 0.3793103448275862, 0.3793103448275862, 0.3103448275862069, 0.3448275862068966]"
0.15789473684210525,2,"[0.41379310344827586, 0.3103448275862069, 0.3103448275862069, 0.3448275862068966, 0.3103448275862069]"
0.21052631578947367,2,"[0.3448275862068966, 0.3448275862068966, 0.3448275862068966, 0.3103448275862069, 0.3793103448275862]"
0.2631578947368421,2,"[0.27586206896551724, 0.3448275862068966, 0.3103448275862069, 0.3448275862068966, 0.3448275862068966]"
0.3157894736842105,2,"[0.3103448275862069, 0.3448275862068966, 0.3103448275862069, 0.3448275862068966, 0.3103448275862069]"
0.3684210526315789,2,"[0.3103448275862069, 0.3103448275862069, 0.3103448275862069, 0.3103448275862069, 0.27586206896551724]"
0.42105263157894735,2,"[0.27586206896551724, 0.3103448275862069, 0.3103448275862069, 0.3448275862068966, 0.27586206896551724]"
0.47368421052631576,2,"[0.27586206896551724, 0.3103448275862069, 0.3448275862068966, 0.3448275862068966, 0.27586206896551724]"
0.5263157894736842,2,"[0.3103448275862069, 0.3448275862068966, 0.3103448275862069, 0.24137931034482757, 0.3103448275862069]"
0.5789473684210527,2,"[0.24137931034482757, 0.27586206896551724, 0.27586206896551724, 0.27586206896551724, 0.27586206896551724]"
0.631578947368421,2,"[0.27586206896551724, 0.27586206896551724, 0.27586206896551724, 0.24137931034482757, 0.20689655172413793]"
0.6842105263157894,2,"[0.27586206896551724, 0.24137931034482757, 0.24137931034482757, 0.20689655172413793, 0.27586206896551724]"
0.7368421052631579,2,"[0.24137931034482757, 0.20689655172413793, 0.20689655172413793, 0.24137931034482757, 0.20689655172413793]"
0.7894736842105263,2,"[0.20689655172413793, 0.27586206896551724, 0.24137931034482757, 0.24137931034482757, 0.27586206896551724]"
0.8421052631578947,2,"[0.1724137931034483, 0.20689655172413793, 0.20689655172413793, 0.1724137931034483, 0.20689655172413793]"
0.894736842105263,2,"[0.1724137931034483, 0.13793103448275862, 0.1724137931034483, 0.1724137931034483, 0.13793103448275862]"
0.9473684210526315,2,"[0.13793103448275862, 0.10344827586206896, 0.13793103448275862, 0.13793103448275862, 0.1724137931034483]"
1.0,2,"[0.10344827586206896, 0.06896551724137931, 0.06896551724137931, 0.06896551724137931, 0.10344827586206896]"
0.0,3,"[0.3103448275862069, 0.24137931034482757, 0.24137931034482757, 0.27586206896551724, 0.3103448275862069]"
0.05263157894736842,3,"[0.27586206896551724, 0.27586206896551724, 0.27586206896551724, 0.27586206896551724, 0.24137931034482757]"
0.10526315789473684,3,"[0.27586206896551724, 0.27586206896551724, 0.24137931034482757, 0.27586206896551724, 0.24137931034482757]"
0.15789473684210525,3,"[0.24137931034482757, 0.27586206896551724, 0.24137931034482757, 0.27586206896551724, 0.27586206896551724]"
0.21052631578947367,3,"[0.24137931034482757, 0.27586206896551724, 0.27586206896551724, 0.27586206896551724, 0.24137931034482757]"
0.2631578947368421,3,"[0.27586206896551724, 0.27586206896551724, 0.27586206896551724, 0.24137931034482757, 0.27586206896551724]"
0.3157894736842105,3,"[0.20689655172413793, 0.20689655172413793, 0.27586206896551724, 0.27586206896551724, 0.24137931034482757]"
0.3684210526315789,3,"[0.20689655172413793, 0.24137931034482757, 0.20689655172413793, 0.24137931034482757, 0.20689655172413793]"
0.42105263157894735,3,"[0.24137931034482757, 0.20689655172413793, 0.20689655172413793, 0.1724137931034483, 0.1724137931034483]"
0.47368421052631576,3,"[0.20689655172413793, 0.20689655172413793, 0.24137931034482757, 0.1724137931034483, 0.24137931034482757]"
0.5263157894736842,3,"[0.1724137931034483, 0.1724137931034483, 0.20689655172413793, 0.20689655172413793, 0.1724137931034483]"
0.5789473684210527,3,"[0.1724137931034483, 0.20689655172413793, 0.20689655172413793, 0.1724137931034483, 0.1724137931034483]"
0.631578947368421,3,"[0.1724137931034483, 0.20689655172413793, 0.1724137931034483, 0.1724137931034483, 0.24137931034482757]"
0.6842105263157894,3,"[0.13793103448275862, 0.13793103448275862, 0.1724137931034483, 0.13793103448275862, 0.1724137931034483]"
0.7368421052631579,3,"[0.13793103448275862, 0.20689655172413793, 0.20689655172413793, 0.1724137931034483, 0.13793103448275862]"
0.7894736842105263,3,"[0.10344827586206896, 0.13793103448275862, 0.1724137931034483, 0.1724137931034483, 0.10344827586206896]"
0.8421052631578947,3,"[0.13793103448275862, 0.13793103448275862, 0.10344827586206896, 0.13793103448275862, 0.13793103448275862]"
0.894736842105263,3,"[0.06896551724137931, 0.10344827586206896, 0.10344827586206896, 0.13793103448275862, 0.10344827586206896]"
0.9473684210526315,3,"[0.13793103448275862, 0.06896551724137931, 0.10344827586206896, 0.13793103448275862, 0.06896551724137931]"
